O,D,O행정동명,D행정동명,naver_p,naver_c,time_pt,time_car
1162052500,1162065500,보라매동,신원동,"https://map.naver.com/p/directions/14129979.667930447,4507716.604775835/14129480.97887559,4506095.089857467/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14129979.667930447,4507716.604775835/14129480.97887559,4506095.089857467/-/car?c=15.00,0,0,0,dh",20,10
1162065500,1162052500,신원동,보라매동,"https://map.naver.com/p/directions/14129480.97887559,4506095.089857467/14129979.667930447,4507716.604775835/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14129480.97887559,4506095.089857467/14129979.667930447,4507716.604775835/-/car?c=15.00,0,0,0,dh",24,13
1129066000,1150051000,길음제1동,염창동,"https://map.naver.com/p/directions/14139793.382731747,4524265.381581323/14123375.81725032,4516885.854189404/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14139793.382731747,4524265.381581323/14123375.81725032,4516885.854189404/-/car?c=15.00,0,0,0,dh",77,29
1150051000,1129066000,염창동,길음제1동,"https://map.naver.com/p/directions/14123375.81725032,4516885.854189404/14139793.382731747,4524265.381581323/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14123375.81725032,4516885.854189404/14139793.382731747,4524265.381581323/-/car?c=15.00,0,0,0,dh",80,38
1141066000,1120053500,홍은제1동,왕십리도선동,"https://map.naver.com/p/directions/14131687.876648618,4523179.974871972/14140711.07834995,4517645.688372804/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14131687.876648618,4523179.974871972/14140711.07834995,4517645.688372804/-/car?c=15.00,0,0,0,dh",56,31
1120052000,1141066000,왕십리제2동,홍은제1동,"https://map.naver.com/p/directions/14140796.593982778,4518388.709406209/14131687.876648618,4523179.974871972/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14140796.593982778,4518388.709406209/14131687.876648618,4523179.974871972/-/car?c=15.00,0,0,0,dh",59,31
1147056000,1156054000,신월1동,여의동,"https://map.naver.com/p/directions/14119151.43181785,4513421.853563489/14129727.885506168,4513018.479859606/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14119151.43181785,4513421.853563489/14129727.885506168,4513018.479859606/-/car?c=15.00,0,0,0,dh",37,17
1156054000,1147056000,여의동,신월1동,"https://map.naver.com/p/directions/14129727.885506168,4513018.479859606/14119151.43181785,4513421.853563489/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14129727.885506168,4513018.479859606/14119151.43181785,4513421.853563489/-/car?c=15.00,0,0,0,dh",37,17
1153051000,1147067000,신도림동,신정6동,"https://map.naver.com/p/directions/14124625.946263878,4510529.271741662/14123031.094183179,4511233.602763879/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14124625.946263878,4510529.271741662/14123031.094183179,4511233.602763879/-/car?c=15.00,0,0,0,dh",21,9
1147067000,1153051000,신정6동,신도림동,"https://map.naver.com/p/directions/14123031.094183179,4511233.602763879/14124625.946263878,4510529.271741662/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14123031.094183179,4511233.602763879/14124625.946263878,4510529.271741662/-/car?c=15.00,0,0,0,dh",18,9
